sentiment,text
positive,These are nice! Was surprised. Will buy more that's for sure.
negative,nice touchup paint
positive,Nice off road LED lights.  Package includes mounting bracket and some mounting hardware. The housings are aluminum and they seem to be heavy duty and well made. Will update pics after install.
positive,"Speed bump broke the rear clip on my STI side skirt , this was a perfect size replacement. Great quality and value, as it comes with many in case I need to do this again.<br /><br />Simply slides into the rocker panel itself, and then you clip it back into the body of the car. 30 second fix! Very happy"
negative,Not much different from the duplicolor type you can buy at autozone.  The picture is old and you don't get the old-style paint.  It's the newer style with the base & clearcoat separated.
positive,I needed this to replace my home alarm that kept signaling low batter.  The last one lasted 9 or so years so I expect this one to also last that long.  Terminals have the exact clips I needed to connect them and it took the wink of an eye to do so.
positive,"This is a great drop in replacement for an old cabin air filter, cheapest on the web<br />No cons, it does what its supposed to do."
positive,Simple enough to use.
positive,"These caps were a perfect fit for the anchor sockets after our inground pool ladders were removed. I only ordered 1 pair just to see if they would fit. Since they did, I ordered another set! Shipping was extremely fast, which was appreciated!"
positive,I like these! Thank you!
positive,Great item
positive,"They stopped selling this in my state about 20 years ago. I was glad to find it on Amazon. Nothing better for cutting grease and grime. Just be sure to use it in a way that it doesn't get soaked into the ground. After it gets loaded up with grease and grime, I pour it into a jar or bottle and drop it off at out city's local toxic waste roundup."
positive,Great replacement reverse bulbs!
positive,Lots of cloths for the money they seem to holdup over time.
positive,Worked a lot better than the cap style filter wrenches. Did great on my 09 Impala.
positive,Effective OBDII splitter
positive,"I bought this one because the descriptions (and videos) claimed it was so easy to install.  I have a 2009 Toyota Camry LE V6. Both mufflers needed to be lowered to get this in, and the bolts were cumbersome. It took U-Haul 1.5 hours to install (as I watched). Other than that, it's NOT an eye sore, and it works great."
positive,It is to convert a ring conector so should come with a rubber ring ir something to secure extra band
negative,Installed worked fine fit perfectly but after two days one of the LED chips burned out. hour install time on infinity had to order new bulbs 3day wait and another hour install maybe just a bad one but didn't take that chance again ordered from different manufacturer no issue over 2 months later
positive,"must have or use terminal set.  used it with my odyssey PC925 battery which didn't come with posts.  You will want to use this in cases you're using it in an automotive application, high quality and easy to install."
positive,Very heavy duty! This clamp looks great on my Suzuki S40 holding an HD screaming eagle muffler slip on. Its wide and the pipe is leak free. Love this clamp.
positive,Received on time.  As advertised.  I mounted it on the rear door of my car.
positive,These have just the right amount of bling. Not gaudy
positive,"Easy to install if you let it set in the hot sun for a couple of hours, if not forget it  !"
negative,"Just got mine which shipped from isaddle via amazon prime.  Plugged it into my 2012 Subaru WRX with Torque app on my phone guessed the pin code of 1234 and it connected although it took a while.  Within 3 minutes of my usual commute to work my car shut off while I was going 50mph and stepped on the clutch to move to 5th gear on a busy road. ?!!@!@  I was able to start the car while coasting and continue but I noticed sudden jerkiness when I would step on the gas and when I put the clutch in the RPMS would drop down to almost nothing and it would quickly recover.  At this point I pulled it out of the OBDII port and bam issues gone..  My car has NEVER stalled while moving before, it has to have been from this device.  So.. be warned.. in my case for my car this thing is dangerous... I would recommend anyone who buys this thing tests it out on safe roads for a while."
positive,It works
positive,Quality product and easy to install
positive,"One of my hydraulic lifts for the back gate on my 2017 Jeep Patriot broke, so I got these to replace the old ones. I put it off for a while, thinking it would be tough to do. It couldn’t have been easier! I was done replacing both sides in 10 minutes, and haven’t had a problem with the new ones since!"
positive,"fast delivery great case and all, kind of wish though the tool was more sturdier it's flimsy or I am using them to hard, hmmm"
positive,Good for night riding
positive,"As described, fits perfectly on my 2007 Honda, would buy again"
positive,"The Honda dealor wanted an outrageous price to replace the actuator on my 2003 CR-V.  I couldn't believe the price I bought this for on Amazon, very reasonable.  I had a private mechanic put it on for me.  Now my door locks work just like new. Thanks Amazon."
positive,Purchased for a 2000 Fleetwood Discovery with Velvac mirrors (passenger side) and these fit 100% perfect!  Here's the link for drivers side although they do not include the tiny allen head caps like this set does. https://www.amazon.com/gp/product/B00OA7ZUFO/ref=oh_aui_detailpage_o06_s00?ie=UTF8&psc=1
positive,Perfect for back pain when you are driving over 10 hours a day
positive,"easy out...easy in. No more dead lifting hood on 2008 Suzuki XL-7. Same body as Vue, Torrent, & Equinox"
positive,"This product is very high quality and works exactly as described.  I got the aqua and it was lighter than I was expecting, I was hoping for a deep turquoise.  However I will still keep it.  It is a very handy and useful design."
positive,"Descent matts I used them in my 2013 Chevy Silverado. the fit was good , a little smaller than factory but acceptable."
negative,This blower makes a high pitched sound at all speeds. It is annoying to me but I am also very particular.  The average person may not care.  This is definitely not OEM quality.  For the price I expected better.  Fit and function is good otherwise.
positive,Love these car seat covers. I had my other ones FOREVER!!!! They didn't start fading from the sun until the last couple of years. But it didn't matter to me. I still loved them anyway. The only reason I'm buying more is because someone stole them. I hope they're getting good use too!
positive,Good tire repair plugs!
positive,"This is one of the best items I have ever purchased. Why? I am vertically challenged at 5'0' tall woman, and all seat belts end up right across my neck, so I am constantly wrestling with them just to keep comfortable. After having surgery due to breast cancer, even having the belt across my chest was uncomfortable, so I decided to try this, and I am very happy to say that I can now finally wear a seat belt comfortably!<br /><br />The adjuster is well made, and very easy to use. I have found that you unsnap it, with the straight part at the bottom, and the rounded part at the top, just thread the seat belt into the largest opening, and the metal part of the seat belt goes through the smallest opening, and then into the buckle part of the seat belt. Here's the part that makes it work: the part of the belt that goes across your lap will be at the bottom of the adjuster, and the belt part that goes across your chest will be at the top rounded portion of the adjuster. Snap the adjuster so that the two are separated by the snap. Now you can move it to adjust until you are comfortable and the belt is off your neck. Also, I am able to leave it on my seat belt when I get in and out of the car by just letting the seat belt go back to almost the beginning position."
positive,they make a grate tool that works
positive,Just as expected.
positive,I use a solar panel to keep my lawn mower fully charged and need added length. These were the answer great quality and a prefect fit for what I needed.
positive,"At first we weren’t sure about the size, we figured if it’s too small we’ll just store it in the back of my Camry but the size is perfect for my husband ram1500. Super convenient for storing, Especially for groceries."
positive,Wasn't exactly sure that this was going to fix my problem but was very pleased when it did.  The old unit must have had a leak path that was not easily detected except for the coolant that was blown all over the engine block.  Installed this part and everything is working as it should again.
positive,"This is a good set for a decent price.  It fit really well my vehicle.  The front was easy to slide in and out (to clean).  The driver side, you remove the standard mat then snap the Gator in place.  Looks good quality- my wife liked it.<br /><br />The rear piece covers well the full back with just a small space not covered- way back under the seat.  It fits very tight and snug and therefore takes some work to pull it out to clean it.  It's doable, of course, but more effort than I would have liked.  My kids track dirt from horses and outdoor activities.  So, I put my old square rubber mats- they look like boot trays- over the backseat Gator insert because it's just easier to remove them to wash off than the whole Gator thing.<br /><br />Overall, it looks nice."
positive,"I paired this with a set of new hella sharptones and the plug and play cable from subispeed. I didn't be happier with the look.<br /><br />Installing was a breeze once the bumper is removed. I'd recommend putting a throw blanket down to avoid scratching to the bottom of you bumper cover.<br /><br />If you're wanting different color horns know that you can remove the casing from hella horns, paint them, then reassemble for the desired look."
negative,"Not very powerful, doesn't move much air.."
positive,I'm a Bosch guy through and through.  I've only recently bought the ICON wipers for 3 separate vehicles and they are always easy to install and super reliable.  They're great for all weather especially the winter.  Can't be beat!
positive,"Most of the time this stays flattened in my car. It's easy to deploy into full size with just a hand (important for those juggling people with their hands always full), the bottom has velcro strips that hold to the carpet in the back, and they are awesome for holding small things like groceries or important things like jumper cables and first aid kits."
positive,"[[VIDEOID:9d0771fd1072ccc25af180cdfb536c85]] WARNING: You MUST HAVE have a mini vci cable and techstream software OR to have a Toyota dealer register the remote start ECU after you install it. This is not 100% DIY without one of those 2 things.<br /><br />I have a firmware v2.0.4 mini vci cable and Toyota techstream software so I was able to register the module myself at home.<br /><br />Install was ok, I used the Toyota install guide provided to their technicians. It was a PDF online. Working under the dash is always a pain.  Installed it and connected the 1P connector to initiate the registration. Then used techstream to register the module.<br /><br />It worked immediately afterwards as seen in the video and is the OEM kit, without the worry of some aftermarket garbage causing a no start condition as those shady units typically do when they tie into the ignition. Included all hardware and even the Toyota VIP Remote Engine start window stickers."
positive,"Installed easily. Looks good. Took me two beers to install this mount. Good Mount for winch, beers were just as good."
negative,"I purchased this 2-pack of cartridges to use with a mini-grease gun. The cartridges are 6"" long and contain 4 1/2"" of grease. They fit into my mini-grease gun perfectly. I have no idea where this grease originated. The container indicates that it is distributed by an outfit in St. Louis but the origin is not disclosed. For this reason I will not buy anymore of these when the grease runs out. I prefer to do business with companies that do not hide information. I try to avoid purchases from countries that include harmful chemicals in their products. Hiding information is the main reason for the 3 star rating.<br /><br />The one helpful aid that could be provided is a pull-tab to pull out the covering over the grease so that is will flow into the gun. The way it is set up now is to poke a hole into the covering and then try to find it and fish it out of the spurting grease. A simple pull-tab would make this a much easier task. It is no big thing but just a helpful hint."
negative,My fault. Thought it was a real alarm
positive,The bulbs were easy to install and are definitely bright. I had a pair for a 97 ram 1500 and didn’t have any issues. I got a second set for a 07 ram 1500 and had issues with them turning on for 30 seconds and then turning off. A set of load resistors fixed the issue. They work great now.
positive,Works great. Can't wait to take camping.
positive,"After my 1st order of this cover didn't show, amazon rushed another cover to me via UPS no charge. Thank you amazon. Received 2nd order in 2 days, and it originated in Washington state. Got cover on, and it has survived everything nw ohio winters can throw at it so far. The cover at 1st glance seemed very thin, but the material is apparently strong. I was sure to protect cover from sharp edges around bottom corners of trailer, items on roof, and rain spouts on top corners. I've seen other covers rip in them locations. If you don't protect from sharp objects, any cover is gonna rip. For the rain spouts I cut some wet noodles (the floaty noodles for pools) and taped them over the spouts. I used bubble wrap on the bottom corners and tv antenna on roof. My only complaint for this cover would be the straps you run across the bottom. they like to loosen in time after being whipped around by the wind. After a freezing rain episode, the weight of the ice on 1 side of cover allowed for movement because straps loosened, and the cover slid off center. I have just made an effort to check them every now and then for tightness, but if its not at your home that could be more troublesome for others."
negative,"Had to us BOTH sticky gel pads to get this to stay on my dash, and the gel pads come separately, so when I opened the box, found this, and some stupid little plastic sticker I thought that was the whole thing, and it didn't stay up at ALL. After finally getting it to stick with both gel pads, I do find this useful. You can not move it around repeatedly like you can with a suction version of this, so be very sure you put it where you want it. The magnet on this is amazing. I put the phone magnet loose inside my phone's case and it still works, and works well THROUGH the case. I found that pretty impressive."
positive,It fit well and stopped the leak I had at the oil cooler on my 3.5 liter engine
positive,Every parent needs these. These are great for day to day driving to keep my kids shoes off my seats. I use the storage pockets for longer trips to hold the kindle or iPad.
positive,Quick little tool that beats the penny test. Was already able to notice how one of my front tires was overinflated because of the tread wear markings found via this tool
positive,This is great and just what i needed. I can now make my can look nice and clean and give it the attention it needs. I can do it in my own time and as much as is needed. It is so much more cost effective for my family. It is also a.way for my boys to learn to detail that is something they have wanted to try for some time now. This set is great the pieces are good quality and work great. They do a good job of making my car look shiny and clean. I am very pleased with this set it is exactly what I needed.<br />I purchased this product for a reduced price to make an honest and unbiased review.
positive,"Great little device.  Well engineered, and almost a little sexy.  Was able to charge 2 phones and use my tablet on the road."
negative,awesome headlights...till they ain’t. Just a couple months out of warranty and just in time for winter the heaters failed. Sent a email to jw speaker about getting them repaired and was told they are not serviceable or repairable... JUNK HEADLIGHTS AVOID!!
positive,Good fit .
negative,Very small and doesn't hold it's shape well.
positive,Nice little gauge.  Accuracy is very good compared to my flukd 179 but ymmv.
negative,"It didn't last long,,,way less than warranty"
positive,"Fits perfectly.  Very practical, especially on road trips."
negative,Looks nice but the fabric makes me sweat and I could not use the backseat cover it did not work nor did I care for the headrest covers.  I should have returned it.
positive,Easy to set up and use.
negative,The description and picture say ETL listed but what I received has no such markings just a blank rectangle on both connectors where the picture says ETL.
negative,"Disappointed that there were no caps for the spout, that’s why I purchased them."
positive,These were a gift. She loved them. Very fancy box it came in. Sent with care! Thank you!
positive,"These gap fillers are well made and unobtrusive looking. On my car the seat cushion is closer to the console at the front than at the rear.  So the fillers are a very tight fit at the front and leave a 1/2 gap at the rear by the seat belt latch.  They sometimes slip a little when the seats are moved forrward or back very far.  Still they are great at stopping dropped keys, credit cards, and food bits from sneaking down into oblivion."
positive,Great to able to reach & connect to read tire pressure.
positive,I love everything about it
negative,As you can see from the photographs this cover doesn’t fit a 1970 Chevy Impala as advertised. The cover is so tight that it will not even go over the front bumper. Be very cautious when ordering for your vehicle. Measure your vehicle first! I learned the hard way. Hopefully this will protect the flat surfaces until the new garage is completed.
positive,Added this to the &#34;Purple&#34; stuff when I serviced the rear differential on my Ford F150.  Read about it on the forums.
negative,One negative was shipping method of a heavy item in a shipping bag and contents were scattered about.  This is a edited review from a 5 star down to a 3 star rating due to the performance and ability to tighten properly after using it for a couple of months to tow a small camper.  I have a 1.25 hitch and have tightened the bolts as tight as they will go and still have undesirable movement.
positive,Got the steps and meet our needs. Good traction and nicely made
positive,A little pricey for a piece of stainless but it is high quality and well made.
positive,"This did the trick exactly for my Ford 3230 and I imagine for all &#34;standard&#34; tractors. The color is right, the manufacturing quality is good, and you know it right away when you feel the heavy box on your desktop. If you haven't ever swapped out a seat, the job takes minutes with the right wrenches."
positive,Value for money!
positive,"I’m so very pleased with these lights, These are on my 91 Goldwing 1500I with the brakes applied, what a huge difference, Wish I could add more pictures but it won’t let me, there’s no way your not gonna see me on the road in front of you, Awesome!!!"
positive,"These CKAuto wheel spacers worked perfectly! They fit my 2020 FJ Cruiser. When I was driving my FJ Cruiser off-road, they hold up very well and I didn't have any issues. They have great quality and no vibration. It is such a great product and I will recommend it to my friends!<br />Here are some tips: Make sure to clean the surface of the bearing for good contact between the spacers and the hub. Remember to get some good anti-seize and slather it on there in case that you ever want to remove the spacers. You better to have a torque wrench, to make sure them to get the proper spec."
negative,This Battery does not hold a charge. Has minimal cold cranking power and if let outside or in your shed with temperatures under 35 it will die. You get what you pay for and with this thats not much
positive,Great product. Used over windows on my camper. Noice!
positive,Bought one version from the local place and it didn’t seal properly but this one did the trick for my 99 Honda CR-V.
positive,So far it has done as advertised.
positive,Worked perfectly and installation was a breeze (2-bolts)!  I just hope the long-term quality is as good as the original OEM.
positive,Easy to program
positive,Worked great for me and I no longer have vapor lock issues on my fuel line. AAA+++
positive,Well I held off to write a review until I've put these to the test. I did have a problem with one side leaking from where I inserted the elbow for the airline. I most likely over tightened honestly. But I emailed customer service and explained what my problem was and they immediately sent me a replacement airbag the next day. Much appreciated and the airbags work great now and hold pressure like they should. Very easy to install
positive,Easy to install and keeps the rain off my windows.
positive,Needed this part for my 2003 Honda CRV. Glad we can find it on Amazon if it fits perfectly.
positive,Nice fit for my Nissian and good price
negative,Other than the fact that i had no idea where most of these peices went they worked well and seem to be holding ok
positive,I changed this on my 2004 Elantra at 100k miles because it was time :).  It was an easy job to do myself (just search online for instructions) and saved me alot of money off of mechanic pricing.  Only tool you really need is a screwdriver.  This filter has worked well and it got my Check Engine Light to go off as the old one had too much buildup.  I would recommend this to anybody and tell them that with patience they can do it themselves with minimal mechanical ability.  Just be careful you will get gasoline all over your car!
positive,"Perfect, Just as described... Would most defiantly purchase again, Great Product!<br />DKH<br />Oklahoma City, OK 73170"
positive,"I’ve only had this a couple of weeks so I can’t speak to the durability. It feels well built and fits well. I was deciding between this and one by weathertec. No question, Weathertec makes great products, but for $50 more, I couldn’t justify buying it over the rugged ridge. At a certain level, protection is protection, and I have no apprehension of the rugged ridge protecting my cargo area. The side walls are high all the way around and it feels like it should hold up to whatever I throw at it. Looks nice as well!"
positive,still working since install
positive,"I wanted to ensure I gave this time to allow an honest review. After a few weeks and a handful of washes I can confirm this thing is legit. Looks amazing, fits like a glove, half the price of OEM, I would even say better than the one Ford sells. Overall I am happy and would definitely recommend."
positive,"This thing is amazing! My husband makes fun of me for basically carrying around a “duffle bag” sized purse...and when I have a passenger in my car, I never have space to put my purse without it accidentally dumping out or in a place I can’t reach while driving (in case I need to pull out my wallet or whatnot). This thing has changed my life! Lol! It holds my purse so that it’s out of the way but still conveniently placed within reach in case I need to get into it. The little pocket on the mesh is also perfect because it’s where I store my umbrella and tissues. I love this thing and can’t recommend it enough. I was scared it would get in the way every time I needed to open my center console storage compartment but it really doesn’t."
positive,"Works well, but I find that I need to reapply often (every other ride) to my bike chain to keep it smooth. It works better in the summer, since rain seems to wash it off easily and it doesn't work as well if dirt or anything else sticks to it. Still, I like it when its nice and dry out, and the chain definitely s***s smoothly with it, even smoother than with chain oil."
positive,"KapscoMoto has been terrific.  The first shipment arrived as an empty priority mail envelope with 3.5&#34; slit in the side. So I emailed KapscoMoto and they sent a replacement right away.  And by the way, the link break tool is great too."
negative,they have a base and are not low profile to the glass mirror .. stick out pas the mirror borders ... rain and snow get behind the glass.
positive,Easy to install covers the seat well  keeps dogs wet snowy paws<br />Off the light color seats
positive,Worked as needed! Great price!
positive,"professionally done product, looks and feels quality."
positive,works great
positive,"Hey, need I say more?"
positive,Heavy duty & sturdy. Hooked to camper bumper to haul bike rack.
positive,Works perfectly just make sure to connect to led light tightly.
positive,fit my 2013 altima
positive,Works as described in.
positive,I always seem to end up getting a fram filter instead of any other brand.  They are priced right and work great.
positive,Easy to install. Quick delivery.
positive,"First, due to the low price and free shipping, I was able to order new support lifts for the rear hatch AND the front hood for about the same price that I was going to pay at a local parts store for just the rear hatch support lifts! Four for the price of two - hard to beat that!<br /><br />Like the first reviewer, I also installed these on the rear hatch of my 1995 Camaro Z28.  They're pretty easy to install (the only tool I used was a small straight slot screw driver) and they work great.  In fact, they almost work too well, if there is such a thing.  But now the rear hatch comes flying up at a pretty rapid pace and I use one hand to slow it down to a controlled speed.  And this is one heavy hatch!  When the old lifts bit the dust, it would take both hands to raise the hatch, then hold it up with one hand while rooting around with the free hand.  So for these support lifts to raise that heavy hatch is saying something about their strength.  Definitely a good product and highly recommended, especially at the low price & free shipping available here on Amazon.<br /><br />Installation tip: I used a 2x4 (with a towel wrapped around each end to protect the interior of the car) to firmly/safely hold up the hatch while I installed these support lifts.  You definitely don't want the hatch to fall unexpectedly and break the rear glass or smash body parts!"
positive,Wife loves it.  It does look like a giant bubble gum bubble LOL
positive,Bought this and it worked perfectly. Was easy to put together.
positive,perfect for a sienfeld fan
positive,"The Sidewinder Sewer Hose Support arrived in excellent condition and on time.  I've examined the support, and it looks easy to use, but I have not as yet had an opportunity to use it."
positive,Easy to install and works good. 2004 chev duramax extended cab
positive,Every car & truck shouldn't leave home without one.
positive,"Item received quickly and as described, worked perfectly!"
positive,"Easy and worthwhile upgrade, one of the lower priced Kuryakyn pieces too.  The stock pedal cover is only held on with adhesive to the frame blade of the pedal.  Rip it off, put adhesive on the frame blade and screw together the front and back of this cover over it."
positive,Just as designed.
positive,"We use this lock for a large bike rack that we use on the back of Ford F-250; works well, easy to use."
negative,"I was very disappointed in the pouch and tried to return it, but I had to pay the shipping. It cost more to return it than I paid for the pouch, so it is stuck in a drawer. My purse would not fit in the pouch and the strings to hold it in place are just that....strings. Save your money for the next model."
positive,Wife loved it
positive,"Four month old baby protected from the hot Florida sun with these.  Bought them for the caregiver but like them so much I might just get them for my car even though the windows are already tinted.  I wasn't sure about the whole 'over the door' concept, but Amazon returns being what they are, I took the risk.  Glad I did.  5 stars for a reason.  I'm a fan of the quality, the design, the whole deal.  Great product.<br />(Haven't noticed the the blind spot mentioned in other posts.  Will update if opinion changes)"
positive,Fit perfectly and replaced the rusted factory mount with out a problem.
positive,"APPLICATION: AUTOMOTIVE AUXILIARY LIGHTING SWITCH<br /><br />I got tired of LED-lit toggle switches as they require extra wiring and are usually of poor quality, so I gave a try on this.  I would say this switch is the best I've tried so far (have not tried switches that are sold only in Japan).  The toggle action has a positive feel to it, the distinctive shape lets me know the difference from other switches without looking.  The rubber boot at the base is a nice touch (different colours would even be nicer, but blue seems the only choice at the moment), and it comes in a static-sensitive package, although it is an electrical device, not an electronic device that can be damaged by the discharge from your finger, etc...<br /><br />The country of origin is unknown, but judging from the kanji-wiring they are probably made in Taiwan.  I bought the 2nd switch and might consider getting the 3rd one as there is no competitor at the moment."
positive,"This quadcopter is a nice, light outdoor flyer for the backyard. I use it to take cinematic videos chasing my dogs around the property. All in all it's a nice whoop if you want something quick and small for a few minutes of downtime"
positive,"Works great, a little hard to undo when you have on winter gloves but overall a great product."
positive,"Just about every size you'll ever need for o-ring needs.  Good product, great price."
positive,When set up correctly with 93 unleaded pump gas raises octane to approx 116 RON
positive,"Good motor oil, good package. Easy pours without spillage, and has two handles for ease of use. Full synthetic so I would think you'd easily get 10,000 miles in between oil changes."
positive,My boyfriend loved this as a gift and it works well - just a little flimsier than I would hope. Good for the price.
positive,"Assembly was pretty simple. I do wonder about the Clevis pins in a critical spot, vs a bolt or something else.<br /><br />However, it's very strong. The joint from the Hitch piece to the back piece is held together by a Clevis pin, and the joint doesn't sit 100% touching (meaning I imagine this is where some strain might be able to crack the section. Time will tell if it lasts, but seems like it would (at least everything but the middle of the 'receiver tube 1 and 2' in the parts list)<br /><br />Also, a little wiggle in the hitch as stated, but once a load is on it, it's a non issue. I can't imagine many people drive around with this empty (unhitch it and throw it in the pickup bed)."
positive,I had another one that was falling apart so I ordered this one. It has enough room to hold a lot and sits high on the seat. My only issue is the strap around the head piece could be longer. I used to just slip it on and off the head piece making it very easy when my hands were full but now I have to no snap it which then makes it fall and if I'm not using both hands to hold it when it's about to fall everything dumps out. Bring back the longer strap.
positive,Fit perfectly and has stuck great
positive,"I might have given this 5 stars, but when they cut it from the big roll it wasn't cut straight.  Also, I wish it was just a little wider, as I have to be very exact when I drive into the garage to be centered.  It was quite heavy, but I was able to drag it from the porch to the garage without too much trouble (I'm a female in my 60's).  Very tightly wrapped, but once I got past the layers of that, it just rolled right out.  One of the ends wasn't flat that first day, but by day two it was flat as a pancake.  Will have to see how it does this winter when I have slush falling off the car, but so far I like it and several of my neighbors have asked me about it.  I ordered the slate gray and was worried it might be too blue based upon the picture, but it's really just a dark gray."
negative,Definitely don't like it
positive,They fit nice as the original.
positive,good product would buy again.company has great service
positive,Great Job!
positive,Great looking item for your auto that needs some being added to it
positive,"Great for my GM vehicles.  Put the car into learn mode from the dash, walk around and press button at each corner. Order is important: front driver, front passenger, rear passenger, rear driver. Worked A++."
negative,If it was not for the fact that every single part of fake plastic fell from the cup holder it would be great.
positive,Works very well on my Hyundai so far.  May upgrade to 5 stars if it lasts long enough.
positive,I like everything about it but the price.  I should have shopped around for other suppliers.
positive,"2 things were excellent. 1) customer service 2) The product. When it shipped, the cap was cracked and a bit of the product made the box messy. I asked for a new cap. They were FANTASTIC! I was sent a reply apologizing and offered some interior detail spray as a gift as well as the replacement cap. Well, I got both and then tried both products and they are excellent. The suds were plenty, my car cleaned nicely and the detail really did the job on the inside, too! I’m a fan!"
positive,"Actually bought this for a small car and although its a little big, it makes it easy to put on and take off.  I like it"
positive,Correct fit
positive,Love the Bink!
positive,love it great product thanks
positive,Great product. It keeps everything where it’s supposed to be and easily accessible.
positive,Go for it
negative,I cant believe I paid six bucks for this.....a fool and his money
positive,We have a pleasure farm and our diesel tractor sometimes hates the cold. This works great to jump it ....also our 4 wheeler and lawn mower. So easy to use. And long lasting charge. Great power will allow multiple jumps!
positive,Works like it is described
positive,I too had to buy this without a photo. It is a perfect 14x14 fantastic fan replacement shroud. Just the rectangle trim piece. It may be too tall for you so just take a side-angle grinder and cutoff wheel or dremel tool to cut it down to the thickness of your roof.<br />Great replacement if yours are cracked.
positive,Correct parts fit perfectly.
positive,"Fits great, replacement is not for the faint of heart. Way better price than local part store. Nice to have brakes again."
positive,D
positive,"We've been camping a lot lately to make up for all the camping we couldn't do when the pandemic was raging. Camping for four means our crossover has had to do double duty in both transporting us to the camp site and carrying all our tents and equipment. That means we carry a lot of it on the roof, and getting the roof rack set up is a trying exercise unto itself. That's where this little guy comes in.<br /><br />It works like this: every door has a latch inside that keeps the door closed. When the door is open, this latch is exposed. The door hook clicks over it, and then the rotating wheel adjusts to ensure it doesn't damage the paint as it unfolds. You now have a foot stool that can handle 440 lb. (but please, don't test it with that much weight!).<br /><br />I stood on this several times to load and unload our crossover on our last camping trip. It works great. The only problem is that it's just one stool, so it's a bit awkward (there's nowhere to put your other foot!), but that's not the fault of the tool."
positive,I have this hooked up to my trailers emergency breaking system and it has been sitting outside in my trailer for almost a year though a rather cold winter (-5 - 20 deg F) and last time i used my trailer it was still charged and working correctly.
positive,Great product. If you are cleaning fabric or carpets do yourself a huge favor and buy the 4&#34; round brush you can mount in the drill. Makes a good job look absolutely perfect!<br />A little of this product goes a long way
positive,Great
positive,I am using these as fishing rod holders.
negative,"For the price this is a good liner and perfectly fits my 2019 RDX. There's even a crease so it folds back like the original Acura liner if you need to get into your storage compartment. I researched comparable brands/prices and liked that this was foldable & didn't cover the left side compartment.<br /><br />Some flaws for me: not super heavy/thick, but does the job of protecting carpet (no issues with spills yet, so I'm hoping nothing soaks through). I really wanted a non slippery liner - and this seems SLIPPERY...Biggest con for me. Not really any traction here..and that was a huge reason why I wanted a liner in the first place. If you own an RDX you know the carpet is super soft and anything you have in your trunk slides everywhere!!  Haven't owned it long enough to see if this is a problem for me, but good to know since they advertise this as ""not slippery""...."
positive,husband said it was fine and was as stated.
negative,Junk. No instructions. Super cheap hardware. Template is piss poor. Not for tj but can MAKE it work.
positive,Razor sharp edges around frame otherwise excellent
positive,good
positive,"I’ll be honest these were not the easiest to install but I’m so glad I put in all the effort to put them on. These are great because they have lumbar support. I think they look really nice and would be nice upgrade to any car. I like that this product prevents wear and tear that can happen over time to the original car seat. One thing that I didn’t expect was for my seat warmers to not be so warm anymore, but I don’t think that should stray you away from this product."
positive,2002 Pontiac Montana fit perfect
positive,Nice riding she verses boots. Breathable and light weight.
positive,"Before I saw these, I was gonna make them with 2x6, Its a good thing i found these.<br />Lightweight, durable resin has a non-slip surface and it Has a built-in handle.<br />No need to stack a bunch of plywood , Just set them down front or back of the tire and drive up on to any of the three levels."
positive,Thinner than orginal fender but mechanic applied it with no problem.
positive,Screw off the old one and used this for hard to reach zerks on the control arms.
positive,Perfect part. Went right in with ease. The seller was extremely kind!
positive,This is a quality product.
negative,"2 days after putting these in the driver's side ripped then a couple days later the back of the passenger cover ripped. Never even put the back bench cover on because it wouldn't fit. Should have saved my money and bought better. You definitely get what you pay for with these cheap, thin  covers"
positive,Pretty darn herky and well made
positive,"i only put this in my 2001 BMW that I drive 1000 miles a week in.  BMW has over 200,000 miles on it and it is still running strong.  Love this oil!"
negative,"This product does NOT work.  In fact, it made the wind noise worse."
positive,"if you have a travel trailer or class B/C you will need these. More so if travel trailer.  Our in-laws borrowed ALL of ours at one campsite; they were lucky we didn't need them- they needed ALL of ours to level as their site was terribly uneven. Our site was perfect so we were able to let them use all of ours. We have like 30; long ones, short ones. And yes we have had to use all 30 at a site once, yikes, glad we had them. They level the tires, level out the plane for the Auto Level jacks and serve to help with step entry if the site is REALLY off kilter. been there done that, made steps out of them."
positive,This is perfect! I bought a used car and I couldn’t see the locked or unlocked buttons. This was a perfect fit for my 2012 Ford Escape and made it cute and easy to read.
negative,Bought it as a gift for my boyfriend to put in this car. Doesn't actually work unless the car is off. When the engine is on it says we're moving east at all times. Sad panda.
positive,"This review was written by my husband because well, I have no clue how to put shocks on a truck..lol And since I watched, there was no way, no how I could even begin to try to.<br /><br />Arrived earlier than expected which was great because it gave me the weekend to get them put on.<br />I have a 2014 F350 SRW long bed (12,000 miles) and my daily commute consists of driving several miles on a concrete highway with a ton of expansion joints. As many others have experienced, I was bouncing so much that I felt my bones would rattle themselves apart. I couldn't even drink my coffee on the way to work without spilling it everywhere. The stock Rancho shocks were pure garbage.<br /><br />I bought this set after seeing many people say it was a great improvement. To me, that is an understatement. It's like the difference between night and day with these on. Sure, it's not 100% smooth like a Cadillac, but there's such a huge improvement on the ride, it just makes me love my truck even more, not to mention I can now enjoy my coffee on the way to work. No more feeling like the bounce would make me wreck (yes, it was that bad).<br /><br />I highly recommend that anyone with a Ford F250/F350 that has that wicked bounce, buy these. I doubt you will be disappointed."
